sim;Type;S1;S2;S3;S4;S5_Type;S5;S5_Aimp;S7_Type;S7;S7_Aimp;S8_Type;S8;S8_Aimp;S9_Type;S9;S9_Aimp;S10_Type;S10;S10_Aimp;S11_Type;S11;S11_Aimp
75;GR5;0;0;0;921.110789;GS;16.4059101;273.431835;GS;22.11564916;201.051356;TRE;28;290.73243;GS;3.22042932;322.042932;BC;21.46703972;306.671996;TRE;7;207.960412
76;GR20;938.857898;494.435864;505.979207;921.110789;BC;32.8118202;273.431835;GS;10.0525678;201.051356;TRE;14;304.73243;GS;28.98386388;322.042932;TRE;7;299.671996;BC;8.59841648;214.960412
77;GR20;938.857898;0;505.979207;0;BC;21.8745468;273.431835;GS;30.1577034;201.051356;GS;3.1873243;318.73243;TRE;14;308.042932;GS;18.40031976;306.671996;BC;25.79524944;214.960412
78;GR20;938.857898;0;0;921.110789;BC;13.67159175;273.431835;BC;22.11564916;201.051356;BC;25.4985944;318.73243;BC;16.1021466;322.042932;GS;6.13343992;306.671996;TRE;14;200.960412
79;GR5;0;0;0;0;TRE;7;266.431835;TRE;7;194.051356;GS;0;318.73243;BC;25.76343456;322.042932;TRE;21;285.671996;BC;6.44881236;214.960412
80;GR20;0;494.435864;0;0;TRE;14;259.431835;GS;2.01051356;201.051356;BC;19.1239458;318.73243;BC;45.08601048;322.042932;BC;9.20015988;306.671996;GS;23.64564532;214.960412
81;GR20;938.857898;494.435864;505.979207;0;BC;8.20295505;273.431835;GS;10.0525678;201.051356;TRE;14;304.73243;BC;35.42472252;322.042932;BC;0;306.671996;GS;12.89762472;214.960412
82;GR20;938.857898;0;505.979207;0;GS;30.07750185;273.431835;GS;14.07359492;201.051356;TRE;21;297.73243;GS;28.98386388;322.042932;GS;33.73391956;306.671996;GS;25.79524944;214.960412
83;GR5;0;494.435864;0;921.110789;BC;30.07750185;273.431835;GS;26.13667628;201.051356;GS;22.3112701;318.73243;BC;35.42472252;322.042932;TRE;0;306.671996;GS;8.59841648;214.960412
84;GR20;0;494.435864;0;0;GS;8.20295505;273.431835;TRE;0;201.051356;GS;22.3112701;318.73243;GS;12.88171728;322.042932;TRE;7;299.671996;GS;27.94485356;214.960412
85;GR5;0;494.435864;0;0;BC;0;273.431835;GS;24.12616272;201.051356;BC;0;318.73243;GS;28.98386388;322.042932;TRE;28;278.671996;GS;6.44881236;214.960412
86;GR5;938.857898;0;505.979207;921.110789;GS;5.4686367;273.431835;BC;28.14718984;201.051356;BC;41.4352159;318.73243;BC;3.22042932;322.042932;BC;18.40031976;306.671996;TRE;0;214.960412
87;GR5;938.857898;0;0;0;BC;21.8745468;273.431835;BC;26.13667628;201.051356;GS;28.6859187;318.73243;GS;9.66128796;322.042932;GS;0;306.671996;GS;12.89762472;214.960412
88;GR20;0;494.435864;505.979207;921.110789;GS;16.4059101;273.431835;GS;2.01051356;201.051356;GS;44.6225402;318.73243;TRE;14;308.042932;BC;12.26687984;306.671996;TRE;14;200.960412
89;GR20;938.857898;494.435864;0;0;BC;30.07750185;273.431835;BC;12.06308136;201.051356;BC;47.8098645;318.73243;BC;6.44085864;322.042932;GS;3.06671996;306.671996;BC;4.29920824;214.960412
90;GR20;0;0;0;921.110789;GS;19.14022845;273.431835;BC;22.11564916;201.051356;GS;0;318.73243;GS;41.86558116;322.042932;GS;6.13343992;306.671996;TRE;7;207.960412
91;GR5;938.857898;494.435864;0;0;BC;5.4686367;273.431835;BC;6.03154068;201.051356;GS;22.3112701;318.73243;BC;16.1021466;322.042932;GS;12.26687984;306.671996;TRE;14;200.960412
92;GR5;0;494.435864;0;0;TRE;0;273.431835;GS;28.14718984;201.051356;TRE;0;318.73243;GS;32.2042932;322.042932;GS;24.53375968;306.671996;GS;2.14960412;214.960412
93;GR20;0;0;0;921.110789;BC;0;273.431835;GS;12.06308136;201.051356;GS;41.4352159;318.73243;BC;6.44085864;322.042932;BC;27.60047964;306.671996;BC;19.34643708;214.960412
94;GR5;0;0;505.979207;921.110789;BC;30.07750185;273.431835;GS;6.03154068;201.051356;BC;31.873243;318.73243;GS;19.32257592;322.042932;BC;6.13343992;306.671996;GS;19.34643708;214.960412
95;GR20;0;494.435864;0;0;GS;2.73431835;273.431835;GS;4.02102712;201.051356;GS;12.7492972;318.73243;BC;12.88171728;322.042932;BC;9.20015988;306.671996;GS;23.64564532;214.960412
96;GR5;938.857898;494.435864;0;0;BC;24.60886515;273.431835;TRE;0;201.051356;BC;38.2478916;318.73243;BC;19.32257592;322.042932;TRE;7;299.671996;GS;6.44881236;214.960412
97;GR20;938.857898;494.435864;505.979207;0;BC;41.01477525;273.431835;GS;20.1051356;201.051356;BC;41.4352159;318.73243;TRE;35;287.042932;TRE;21;285.671996;GS;4.29920824;214.960412
98;GR20;0;0;0;921.110789;BC;41.01477525;273.431835;GS;30.1577034;201.051356;GS;41.4352159;318.73243;TRE;7;315.042932;GS;15.3335998;306.671996;BC;27.94485356;214.960412
99;GR20;0;494.435864;505.979207;0;TRE;14;259.431835;BC;20.1051356;201.051356;GS;35.0605673;318.73243;BC;41.86558116;322.042932;TRE;28;278.671996;TRE;14;200.960412
100;GR5;938.857898;0;505.979207;921.110789;BC;27.3431835;273.431835;BC;24.12616272;201.051356;TRE;14;304.73243;GS;9.66128796;322.042932;TRE;21;285.671996;GS;27.94485356;214.960412
101;GR20;0;0;505.979207;921.110789;BC;0;273.431835;BC;14.07359492;201.051356;GS;12.7492972;318.73243;GS;38.64515184;322.042932;BC;27.60047964;306.671996;BC;19.34643708;214.960412
102;GR5;938.857898;0;0;921.110789;GS;10.9372734;273.431835;TRE;14;187.051356;GS;38.2478916;318.73243;BC;35.42472252;322.042932;TRE;21;285.671996;GS;2.14960412;214.960412
103;GR20;0;494.435864;505.979207;921.110789;TRE;21;252.431835;BC;28.14718984;201.051356;BC;41.4352159;318.73243;TRE;14;308.042932;GS;15.3335998;306.671996;TRE;7;207.960412
104;GR20;938.857898;494.435864;0;0;GS;0;273.431835;BC;0;201.051356;TRE;0;318.73243;TRE;21;301.042932;TRE;21;285.671996;TRE;7;207.960412
105;GR20;938.857898;0;0;921.110789;BC;2.73431835;273.431835;TRE;7;194.051356;BC;47.8098645;318.73243;BC;25.76343456;322.042932;TRE;21;285.671996;GS;10.7480206;214.960412
106;GR20;938.857898;494.435864;505.979207;0;TRE;14;259.431835;GS;8.04205424;201.051356;BC;12.7492972;318.73243;TRE;14;308.042932;TRE;21;285.671996;TRE;7;207.960412
107;GR5;0;0;505.979207;0;BC;13.67159175;273.431835;BC;8.04205424;201.051356;BC;12.7492972;318.73243;GS;9.66128796;322.042932;GS;46.0007994;306.671996;BC;8.59841648;214.960412
108;GR20;938.857898;0;0;921.110789;GS;38.2804569;273.431835;GS;18.09462204;201.051356;BC;19.1239458;318.73243;GS;6.44085864;322.042932;TRE;21;285.671996;TRE;21;193.960412
109;GR20;0;0;0;921.110789;BC;41.01477525;273.431835;GS;12.06308136;201.051356;TRE;14;304.73243;GS;19.32257592;322.042932;GS;46.0007994;306.671996;GS;10.7480206;214.960412
110;GR5;0;0;505.979207;0;TRE;28;245.431835;BC;28.14718984;201.051356;BC;0;318.73243;GS;12.88171728;322.042932;BC;12.26687984;306.671996;GS;21.4960412;214.960412
111;GR20;938.857898;494.435864;505.979207;0;GS;27.3431835;273.431835;BC;10.0525678;201.051356;GS;41.4352159;318.73243;BC;45.08601048;322.042932;BC;18.40031976;306.671996;BC;23.64564532;214.960412
112;GR5;0;494.435864;0;921.110789;TRE;0;273.431835;BC;16.08410848;201.051356;BC;35.0605673;318.73243;GS;25.76343456;322.042932;BC;42.93407944;306.671996;BC;23.64564532;214.960412
113;GR5;0;0;0;0;TRE;0;273.431835;BC;16.08410848;201.051356;TRE;14;304.73243;TRE;21;301.042932;GS;18.40031976;306.671996;BC;4.29920824;214.960412
114;GR5;938.857898;494.435864;0;921.110789;TRE;21;252.431835;GS;4.02102712;201.051356;BC;31.873243;318.73243;GS;45.08601048;322.042932;GS;18.40031976;306.671996;GS;0;214.960412
115;GR20;938.857898;494.435864;505.979207;0;GS;24.60886515;273.431835;BC;18.09462204;201.051356;BC;15.9366215;318.73243;GS;48.3064398;322.042932;TRE;14;292.671996;GS;19.34643708;214.960412
116;GR5;938.857898;494.435864;0;0;BC;35.54613855;273.431835;BC;24.12616272;201.051356;GS;9.5619729;318.73243;GS;6.44085864;322.042932;BC;24.53375968;306.671996;GS;25.79524944;214.960412
117;GR20;938.857898;0;505.979207;921.110789;GS;41.01477525;273.431835;GS;20.1051356;201.051356;BC;15.9366215;318.73243;BC;45.08601048;322.042932;GS;18.40031976;306.671996;GS;12.89762472;214.960412
118;GR20;938.857898;0;505.979207;921.110789;TRE;0;273.431835;BC;28.14718984;201.051356;BC;22.3112701;318.73243;GS;0;322.042932;TRE;7;299.671996;GS;8.59841648;214.960412
119;GR5;0;494.435864;0;921.110789;BC;8.20295505;273.431835;TRE;21;180.051356;GS;9.5619729;318.73243;GS;48.3064398;322.042932;GS;3.06671996;306.671996;TRE;7;207.960412
120;GR5;938.857898;0;0;0;GS;32.8118202;273.431835;BC;20.1051356;201.051356;BC;22.3112701;318.73243;BC;3.22042932;322.042932;GS;42.93407944;306.671996;TRE;21;193.960412
121;GR5;938.857898;494.435864;0;921.110789;BC;35.54613855;273.431835;GS;20.1051356;201.051356;GS;22.3112701;318.73243;GS;3.22042932;322.042932;GS;42.93407944;306.671996;GS;30.09445768;214.960412
122;GR20;0;0;0;921.110789;GS;10.9372734;273.431835;TRE;14;187.051356;GS;9.5619729;318.73243;TRE;14;308.042932;TRE;7;299.671996;TRE;7;207.960412
123;GR20;0;494.435864;505.979207;921.110789;BC;19.14022845;273.431835;GS;8.04205424;201.051356;GS;0;318.73243;GS;9.66128796;322.042932;BC;27.60047964;306.671996;TRE;14;200.960412
124;GR20;0;494.435864;0;921.110789;BC;16.4059101;273.431835;BC;6.03154068;201.051356;GS;44.6225402;318.73243;BC;19.32257592;322.042932;GS;36.80063952;306.671996;BC;17.19683296;214.960412
125;GR5;0;0;505.979207;0;GS;10.9372734;273.431835;GS;4.02102712;201.051356;BC;19.1239458;318.73243;GS;0;322.042932;BC;36.80063952;306.671996;BC;27.94485356;214.960412
126;GR20;938.857898;0;505.979207;0;GS;21.8745468;273.431835;GS;12.06308136;201.051356;GS;25.4985944;318.73243;GS;25.76343456;322.042932;BC;3.06671996;306.671996;GS;4.29920824;214.960412
127;GR20;0;0;505.979207;0;GS;16.4059101;273.431835;GS;28.14718984;201.051356;GS;12.7492972;318.73243;GS;22.54300524;322.042932;GS;36.80063952;306.671996;GS;27.94485356;214.960412
128;GR5;938.857898;494.435864;505.979207;921.110789;BC;27.3431835;273.431835;GS;22.11564916;201.051356;BC;22.3112701;318.73243;GS;6.44085864;322.042932;GS;21.46703972;306.671996;GS;19.34643708;214.960412
129;GR5;0;0;505.979207;0;TRE;21;252.431835;GS;14.07359492;201.051356;BC;9.5619729;318.73243;TRE;21;301.042932;BC;9.20015988;306.671996;GS;19.34643708;214.960412
130;GR5;938.857898;494.435864;0;921.110789;GS;19.14022845;273.431835;TRE;14;187.051356;TRE;35;283.73243;TRE;7;315.042932;TRE;21;285.671996;GS;21.4960412;214.960412
131;GR20;0;0;0;921.110789;GS;21.8745468;273.431835;GS;4.02102712;201.051356;TRE;7;311.73243;TRE;7;315.042932;GS;18.40031976;306.671996;GS;17.19683296;214.960412
132;GR5;0;0;0;921.110789;GS;0;273.431835;TRE;21;180.051356;GS;15.9366215;318.73243;TRE;0;322.042932;GS;36.80063952;306.671996;BC;6.44881236;214.960412
133;GR5;0;0;505.979207;0;GS;27.3431835;273.431835;GS;10.0525678;201.051356;GS;22.3112701;318.73243;GS;22.54300524;322.042932;GS;46.0007994;306.671996;TRE;14;200.960412
134;GR5;938.857898;494.435864;0;0;GS;21.8745468;273.431835;BC;24.12616272;201.051356;BC;28.6859187;318.73243;BC;48.3064398;322.042932;GS;39.86735948;306.671996;GS;19.34643708;214.960412
135;GR20;938.857898;0;0;921.110789;BC;5.4686367;273.431835;GS;18.09462204;201.051356;GS;12.7492972;318.73243;TRE;14;308.042932;BC;15.3335998;306.671996;GS;0;214.960412
136;GR5;0;0;505.979207;921.110789;TRE;7;266.431835;GS;10.0525678;201.051356;GS;31.873243;318.73243;GS;25.76343456;322.042932;TRE;21;285.671996;BC;17.19683296;214.960412
137;GR5;0;494.435864;0;921.110789;GS;27.3431835;273.431835;GS;30.1577034;201.051356;GS;41.4352159;318.73243;BC;9.66128796;322.042932;TRE;0;306.671996;GS;25.79524944;214.960412
138;GR20;0;0;505.979207;921.110789;BC;2.73431835;273.431835;GS;2.01051356;201.051356;GS;15.9366215;318.73243;BC;48.3064398;322.042932;GS;39.86735948;306.671996;BC;30.09445768;214.960412
139;GR5;938.857898;494.435864;505.979207;921.110789;BC;32.8118202;273.431835;BC;24.12616272;201.051356;GS;15.9366215;318.73243;GS;38.64515184;322.042932;TRE;21;285.671996;GS;6.44881236;214.960412
140;GR5;0;494.435864;505.979207;921.110789;GS;41.01477525;273.431835;BC;22.11564916;201.051356;TRE;0;318.73243;TRE;35;287.042932;GS;33.73391956;306.671996;GS;8.59841648;214.960412
141;GR5;0;494.435864;0;921.110789;TRE;14;259.431835;BC;28.14718984;201.051356;GS;41.4352159;318.73243;TRE;7;315.042932;TRE;7;299.671996;GS;30.09445768;214.960412
142;GR5;938.857898;494.435864;0;921.110789;GS;38.2804569;273.431835;GS;16.08410848;201.051356;TRE;28;290.73243;TRE;14;308.042932;BC;42.93407944;306.671996;BC;15.04722884;214.960412
143;GR20;938.857898;0;505.979207;0;GS;41.01477525;273.431835;GS;24.12616272;201.051356;TRE;14;304.73243;BC;25.76343456;322.042932;TRE;21;285.671996;BC;21.4960412;214.960412
144;GR20;938.857898;494.435864;505.979207;0;GS;24.60886515;273.431835;BC;22.11564916;201.051356;BC;19.1239458;318.73243;GS;45.08601048;322.042932;BC;42.93407944;306.671996;BC;23.64564532;214.960412
145;GR20;0;494.435864;505.979207;0;TRE;0;273.431835;TRE;21;180.051356;BC;19.1239458;318.73243;GS;41.86558116;322.042932;BC;3.06671996;306.671996;GS;30.09445768;214.960412
146;GR5;0;494.435864;0;0;TRE;14;259.431835;TRE;14;187.051356;GS;15.9366215;318.73243;TRE;35;287.042932;BC;24.53375968;306.671996;GS;27.94485356;214.960412
147;GR5;938.857898;494.435864;0;0;TRE;14;259.431835;BC;24.12616272;201.051356;GS;44.6225402;318.73243;GS;45.08601048;322.042932;TRE;7;299.671996;BC;30.09445768;214.960412
148;GR5;938.857898;0;0;921.110789;BC;21.8745468;273.431835;BC;14.07359492;201.051356;GS;44.6225402;318.73243;BC;22.54300524;322.042932;TRE;14;292.671996;TRE;7;207.960412
149;GR5;0;0;505.979207;921.110789;BC;30.07750185;273.431835;TRE;14;187.051356;BC;0;318.73243;TRE;28;294.042932;TRE;14;292.671996;GS;2.14960412;214.960412
150;GR5;0;0;0;921.110789;BC;13.67159175;273.431835;GS;12.06308136;201.051356;BC;22.3112701;318.73243;GS;9.66128796;322.042932;BC;24.53375968;306.671996;GS;30.09445768;214.960412
